浙江-组播1,#genre#
云南卫视,http://115.207.208.170:8888/rtp/233.50.200.115:5140
吉林卫视,http://115.207.208.170:8888/rtp/233.50.202.42:5140
贵州卫视,http://115.207.208.170:8888/rtp/233.50.201.142:5140
辽宁卫视,http://115.207.208.170:8888/rtp/233.50.201.141:5140
重庆卫视,http://115.207.208.170:8888/rtp/233.50.201.143:5140
黑龙江卫视,http://115.207.208.170:8888/rtp/233.50.201.115:5140
睛彩竞技,http://115.207.208.170:8888/rtp/233.50.202.26:5140
睛彩篮球,http://115.207.208.170:8888/rtp/233.50.202.27:5140
睛彩青少,http://115.207.208.170:8888/rtp/233.50.202.28:5140
凤凰中文,http://115.207.208.170:8888/udp/233.50.200.191:5140
凤凰资讯,http://115.207.208.170:8888/udp/233.50.200.192:5140
绍兴综合,http://115.207.208.170:8888/udp/233.50.202.11:5140
杭州综合,http://115.207.208.170:8888/udp/233.50.201.21:5140
杭州明珠,http://115.207.208.170:8888/udp/233.50.201.22:5140
晴彩竞技,http://115.207.208.170:8888/udp/233.50.202.26:5140
晴彩篮球,http://115.207.208.170:8888/udp/233.50.202.27:5140
晴彩广场舞,http://115.207.208.170:8888/udp/233.50.202.29:5140
晴彩羽毛球,http://115.207.208.170:8888/udp/233.50.202.28:5140
华语中文台,http://115.207.208.170:8888/udp/233.50.200.42:5140
浙江钱江都市,http://115.207.208.170:8888/udp/233.50.201.132:5140
浙江民生休闲,http://115.207.208.170:8888/udp/233.50.201.136:5140
浙江经济生活,http://115.207.208.170:8888/udp/233.50.201.133:5140
浙江教科影视,http://115.207.208.170:8888/udp/233.50.201.134:5140
浙江新闻,http://115.207.208.170:8888/udp/233.50.201.137:5140
浙江少儿,http://115.207.208.170:8888/udp/233.50.201.138:5140
宁波新闻综合,http://115.207.208.170:8888/udp/233.50.201.168:5140
宁波经济生活,http://115.207.208.170:8888/udp/233.50.201.178:5140
宁波都市文体,http://115.207.208.170:8888/udp/233.50.201.179:5140
