2025/07/26 14:38更新,#genre#
浙江新闻,http://115.207.208.170:8888/udp/233.50.201.137:5140
浙江少儿,http://115.207.208.170:8888/udp/233.50.201.138:5140
宁波新闻综合,http://115.207.208.170:8888/udp/233.50.201.168:5140
宁波经济生活,http://115.207.208.170:8888/udp/233.50.201.178:5140
宁波都市文体,http://115.207.208.170:8888/udp/233.50.201.179:5140
宁波影视剧,http://115.207.208.170:8888/udp/233.50.201.180:5140
凤凰中文高清,http://115.207.208.170:8888/udp/233.50.200.191:5140
凤凰资讯高清,http://115.207.208.170:8888/udp/233.50.200.192:5140
浙江-组播6,#genre#
CCTV1,http://115.207.208.222:8888/rtp/233.50.201.118:5140
CCTV2,http://115.207.208.222:8888/rtp/233.50.201.119:5140
CCTV3,http://115.207.208.222:8888/rtp/233.50.201.196:5140
